Category,Item,Serving Size(g),Calories,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg),Carbohydrates(g),Dietary Fiber(g),Sugars(g),Protein(g)
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,33,9,0,85,1410,58,3,11,36
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,20,7,0,105,1250,44,3,9,40
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,28,6,0,70,1400,57,3,11,32
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,15,4.5,0,90,1230,43,3,9,36
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,38,10,0.5,90,1720,65,4,16,36
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,25,8,0,110,1560,51,4,14,40
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,19,3,0,45,910,43,2,7,21
Chicken & Fish,McChicken,5.1 oz (143 g),360,16,3,0,35,800,40,2,5,14
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,24,7,0,65,1260,43,2,6,22
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,21,5,0,50,1260,41,2,6,20
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,16,3,0,35,990,40,2,5,14
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,32,9,0.5,80,1540,56,3,7,32
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,19,7,0,95,1370,42,3,6,36
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,31,8,0.5,65,1340,56,3,8,27
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,18,6,0.5,80,1170,42,3,6,30
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,33,8,0.5,60,1480,68,5,12,27
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,20,6,0,80,1320,55,5,10,31
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,23,4.5,0,50,1260,61,3,14,23
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,10,3,0,65,1090,47,3,12,27
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,12,2,0,25,360,12,1,0,9
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,18,3,0,40,540,18,1,0,13
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,30,5,0,65,900,30,2,0,22
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,59,10,0,135,1800,59,3,0,44
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880,118,20,1,265,3600,118,6,1,87
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,19,4,0,40,590,39,2,5,15
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,7,3.5,0,25,300,10,3,4,9
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,21,6,0,70,860,22,2,5,25
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,8,4,0,85,690,8,2,4,29
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,4.5,2,0,10,150,20,6,6,6
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,22,4.5,0,50,850,42,7,12,23
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,8,2.5,0,70,680,28,7,10,27
Sides,Small French Fries,2.6 oz (75 g),230,11,1.5,0,0,130,30,2,0,2
Sides,Medium French Fries,3.9 oz (111 g),340,16,2.5,0,0,190,44,4,0,4
Sides,Large French Fries,5.9 oz (168 g),510,24,3.5,0,0,290,67,5,0,6
Sides,Kids French Fries,1.3 oz (38 g),110,5,1,0,0,65,15,1,0,1
